abv,name,style,brewery_id,ounces
0.067,Undertaker,Belgian Dark Ale,10,16
0.067,Undertaker (2014),Belgian Dark Ale,10,16
0.05,Coq D'Or,Belgian Pale Ale,10,16
0.06,North French,Bière de Garde,10,16
0.065,Agent a Deux,Belgian Dark Ale,10,16
0.045,Belgian Wit,Witbier,10,16
0.063,Pothole Stout,American Stout,10,16
0.093,Tree Bucket,Belgian IPA,10,16
0.073,Le Flaneur Ale,American Wild Ale,10,16
0.056,Maize & Blueberry,Fruit / Vegetable Beer,10,16
0.093,Trebuchet Double IPA,American Double / Imperial IPA,10,16
0.065,Contemplation,Bière de Garde,10,16
0.05,Black Rabbit,American Black Ale,10,16
0.09,Zaison,Saison / Farmhouse Ale,10,16
0.082,Vivant Tripel,Tripel,10,16
0.098,Tart Side of the Moon,Belgian Dark Ale,10,16
0.06,Big Red Coq,American Amber / Red Ale,10,16
0.099,Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),10,16
0.095,Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,10,16
0.092,Escoffier Bretta Ale,American Wild Ale,10,16
0.065,Contemplation (2012),Bière de Garde,10,16
0.099,Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,10,16
0.062,Big Red Coq (2012),American Amber / Red Ale,10,16
0.09,Zaison (2012),Saison / Farmhouse Ale,10,16
0.092,Vivant Tripel (2012),Tripel,10,16
0.097,Trebuchet Double IPA (2012),Belgian IPA,10,16
0.085,Kludde,Belgian Strong Dark Ale,10,16
0.055,Farm Hand,Saison / Farmhouse Ale,10,16
0.06,Solitude,Belgian Pale Ale,10,16
0.065,Triomphe,Belgian IPA,10,16
,Tampa Pale Ale,American Pale Ale (APA),467,12
,Orange Grove Wheat Ale,American Pale Wheat Ale,467,12
0.061,Broad Brook Ale,American Amber / Red Ale,89,16
0.05,Northern Lights Amber Ale,American Amber / Red Ale,493,12
0.052,Polar Pale Ale,American Pale Ale (APA),493,12
0.048,Chugach Session Ale,Cream Ale,493,12
0.061,Fairweather IPA,American IPA,493,12
0.068,East India Pale Ale,English India Pale Ale (IPA),437,16
0.045,Brooklyn Summer Ale,English Pale Mild Ale,437,12
0.068,East India Pale Ale,English India Pale Ale (IPA),437,12
0.045,Brooklyn Summer Ale (2011),English Pale Mild Ale,437,12
0.052,Brooklyn Lager (16 oz.),American Amber / Red Lager,437,16
